what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1362833981611
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1362833982617
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1362833982638
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1362833982655
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1362833983885
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1362833983910
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1362833983944
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1362833984013
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1362833984031
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1362833984167
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1362833984169
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1362833984385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362833984990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362833989629
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1362833991694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362833991741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362833995138
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1362833995154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362833996051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362833996448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362833997077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362833998409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362833999763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362834001068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834004476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834007623
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834011337
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834011371
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1362834011379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834011390
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1362834030819
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1362834031071
started,bundle,org.eclipse.jst.pagedesigner,1.3.104.v201201181342,"org.eclipse.jst.pagedesigner",1362834031071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834048176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362834050034
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834051702
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834051745
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362834053333
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1362834054096
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1362834054132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834054305
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1362834055790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834069951
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362834083355
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1362834083397
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1362834083436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834083517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834087458
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834087962
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834089030
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834089653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834100143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834102398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834104771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834115791
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834118342
error,log,,,"Could not launch in profiling mode because no profilers are configured.",1362834121717
error,log,,,"Could not load the Tomcat server configuration at /Servers/Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1362834121762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834121821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834126897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834131520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362834134431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834134454
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1362834134887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834136347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834163720
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362834166251
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1362834166626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834183490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834189499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834190872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834193089
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834194043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834196366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834201366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834202657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834204865
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834207261
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.publish",1362834208652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834209025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834210391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834211519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834228504
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834229487
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834230397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362834231307
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834231900
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834235733
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1362834235792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834241733
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1362834241849
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1362834241855
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1362834243859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834243883
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362834245812
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834250326
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362834252452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834254992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834255699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834258598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834263433
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362834264615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834271839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834273772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834275641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834277697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834278510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834289366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834290082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834293393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834294515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834295945
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362834298231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362834304921
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362834305611
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1362834306981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834312790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834315187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834315216
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362834315345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834315377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834319811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834320695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834321075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834322388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834328023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834330822
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362834338795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834344147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834350468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834350960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834351336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834351972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834352971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834356476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834365827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834394997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834398202
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362834409159
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362834411293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834417488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834418373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834421617
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362834438780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362834440017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362834445116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834472504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834474372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834475313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1362834476113
