what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445455853
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445479073
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363445494258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363445499476
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1363445499576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363445505420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1363445507295
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363445512832
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1363445522762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1363445529537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445530597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445540188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445543872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445544597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445570942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445572967
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445574026
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363445576028
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1363445577627
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445578149
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363445580130
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445580228
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363445580323
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445581015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445587774
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1363445590125
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363445590551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445591832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445596224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445598128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363445599679
